+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+----------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched  | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+----------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4524288    | 12469.61      | 49338.56 | 6   | 29900,30040,30180,29897,30037,30177 | 36868.95 | 295.67   |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4524288    | 11353.23      | 44695.44 | 6   | 28220,28360,28500,28217,28357,28497 | 33342.21 | 293.68   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4024288    | 11552.55      | 44074.63 | 6   | 26115,26255,26395,26112,26252,26392 | 32522.08 | 281.51   |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 3524288    | 8923.6        | 34978.44 | 6   | 26950,27090,27230,26947,27087,27227 | 26054.84 | 291.98   |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4524288    | 13203.89      | 36885.09 | 6   | 30740,30880,31020,30737,30877,31017 | 23681.2  | 179.35   |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4524288    | 11571.48      | 33927.63 | 6   | 27800,27940,28080,27797,27937,28077 | 22356.15 | 193.2    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 4524288    | 11415.51      | 33721.9  | 6   | 26960,27100,27240,26957,27097,27237 | 22306.39 | 195.4    |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4024288    | 11435.52      | 32775.59 | 6   | 30735,30875,31015,30732,30872,31012 | 21340.07 | 186.61   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 2524288    | 7227.26       | 27780.56 | 6   | 26100,26240,26380,26097,26237,26377 | 20553.3  | 284.39   |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4024288    | 10335.81      | 30787.49 | 6   | 29055,29195,29335,29052,29192,29332 | 20451.68 | 197.87   |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4024288    | 10086.75      | 30443.92 | 6   | 28215,28355,28495,28212,28352,28492 | 20357.17 | 201.82   |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4024288    | 10315.04      | 30234.34 | 6   | 27795,27935,28075,27792,27932,28072 | 19919.3  | 193.11   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 3524288    | 10091.03      | 29088.97 | 6   | 26110,26250,26390,26107,26247,26387 | 18997.94 | 188.27   |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3524288    | 9227.69       | 26415.31 | 6   | 29050,29190,29330,29047,29187,29327 | 17187.62 | 186.26   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 3024288    | 8710.53       | 25012.77 | 6   | 26105,26245,26385,26102,26242,26382 | 16302.24 | 187.16   |
