+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------+-----+-------------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-old | cnt |                    qid                    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------+-----+-------------------------------------------+----------+
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 3.12     | 6.69        | 6   | 13021,13161,13301,13023,13163,13303       | 114.42   |
| 32  | 40         | 10000000 | 1250000   | 238096   | 1       | 512   | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 2.48     | 4.78        | 6   | 49521,49651,49781,49523,49653,49783       | 92.74    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 3.29     | 6.2         | 6   | 18481,18621,18761,18483,18623,18763       | 88.45    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 1.65     | 2.94        | 6   | 18476,18616,18756,18478,18618,18758       | 78.18    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 4.04     | 7.18        | 6   | 14701,14841,14981,14703,14843,14983       | 77.72    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 2048       | 2.18     | 3.8         | 6   | 14696,14836,14976,14698,14838,14978       | 74.31    |
| 32  | 40         | 10000000 | 1250000   | 238096   | 1       | 512   | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 512        | 1.75     | 3.02        | 6   | 49516,49646,49776,49518,49648,49778       | 72.57    |
| 65  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 1.87     | 3.21        | 6   | 98936,99071,99206,98938,99073,99208       | 71.66    |
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 1.21     | 2.06        | 6   | 13011,13151,13291,13013,13153,13293       | 70.25    |
| 68  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 1.14     | 1.91        | 6   | 104196,104331,104466,104198,104333,104468 | 67.54    |
| 57  | 80         | 10000000 | 2500000   | 117648   | 4       | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 1.77     | 2.96        | 6   | 86696,86831,86966,86698,86833,86968       | 67.23    |
| 65  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 1.25     | 2.07        | 6   | 98931,99066,99201,98933,99068,99203       | 65.6     |
| 5   | 40         | 10000000 | 5000000   | 238096   | 0       | 2     | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 2          | 0.2      | 0.33        | 6   | 7086,7226,7366,7088,7228,7368             | 65.0     |
| 29  | 40         | 10000000 | 1250000   | 238096   | 1       | 512   | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 64         | 0.78     | 1.28        | 6   | 44431,44561,44691,44433,44563,44693       | 64.1     |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 199.77   | 327.77      | 6   | 18516,18656,18796,18518,18658,18798       | 64.07    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 8.96     | 14.68       | 6   | 18491,18631,18771,18493,18633,18773       | 63.84    |
| 65  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 56.54    | 92.4        | 6   | 98966,99101,99236,98968,99103,99238       | 63.42    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 15.44    | 24.95       | 6   | 18496,18636,18776,18498,18638,18778       | 61.59    |
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 5.39     | 8.67        | 6   | 13026,13166,13306,13028,13168,13308       | 60.85    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | asc         | desc       | 2048       | 2.37     | 3.78        | 6   | 16796,16936,17076,16798,16938,17078       | 59.49    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 1.42     | 2.26        | 6   | 18471,18611,18751,18473,18613,18753       | 59.15    |
| 65  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 0.82     | 1.29        | 6   | 98926,99061,99196,98928,99063,99198       | 57.32    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 5.14     | 8.02        | 6   | 18486,18626,18766,18488,18628,18768       | 56.03    |
| 65  | 60         | 10000000 | 2500000   | 156250   | 64      | 32    | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 5.77     | 8.96        | 6   | 98946,99081,99216,98948,99083,99218       | 55.29    |
| 31  | 40         | 10000000 | 1250000   | 238096   | 1       | 512   | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 16         | 0.74     | 1.14        | 6   | 47541,47671,47801,47543,47673,47803       | 54.05    |
