+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+----------+-----+-------------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched  | cnt |                    qid                    |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+----------+-----+-------------------------------------------+----------+----------+
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4524288    | 16297.07      | 28902.2  | 6   | 14360,14500,14640,14357,14497,14637       | 12605.13 | 77.35    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4524288    | 16295.94      | 28271.61 | 6   | 16040,16180,16320,16037,16177,16317       | 11975.67 | 73.49    |
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 4524288    | 14637.7       | 26022.06 | 6   | 13520,13660,13800,13517,13657,13797       | 11384.36 | 77.77    |
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4024288    | 14796.79      | 26148.76 | 6   | 14355,14495,14635,14352,14492,14632       | 11351.97 | 76.72    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 4524288    | 14504.07      | 25845.0  | 6   | 15200,15340,15480,15197,15337,15477       | 11340.93 | 78.19    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4524288    | 13051.52      | 23787.33 | 6   | 17300,17440,17580,17297,17437,17577       | 10735.81 | 82.26    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 4024288    | 14415.25      | 24995.89 | 6   | 16035,16175,16315,16032,16172,16312       | 10580.64 | 73.4     |
| 9   | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 4024288    | 13332.31      | 23619.09 | 6   | 13515,13655,13795,13512,13652,13792       | 10286.78 | 77.16    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4024288    | 12259.73      | 22484.84 | 6   | 18975,19115,19255,18972,19112,19252       | 10225.11 | 83.4     |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4524288    | 10648.03      | 20483.92 | 6   | 18140,18280,18420,18137,18277,18417       | 9835.89  | 92.37    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4524288    | 10127.87      | 19904.09 | 6   | 16460,16600,16740,16457,16597,16737       | 9776.22  | 96.53    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 4024288    | 13018.01      | 22620.37 | 6   | 15195,15335,15475,15192,15332,15472       | 9602.36  | 73.76    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4024288    | 11607.4       | 21142.19 | 6   | 17295,17435,17575,17292,17432,17572       | 9534.79  | 82.14    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 3524288    | 12529.39      | 21774.28 | 6   | 16030,16170,16310,16027,16167,16307       | 9244.89  | 73.79    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4024288    | 9093.62       | 18316.57 | 6   | 16455,16595,16735,16452,16592,16732       | 9222.95  | 101.42   |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 3524288    | 10770.78      | 19742.33 | 6   | 18970,19110,19250,18967,19107,19247       | 8971.55  | 83.3     |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4024288    | 9539.46       | 18330.83 | 6   | 18135,18275,18415,18132,18272,18412       | 8791.37  | 92.16    |
| 12  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4524288    | 13546.2       | 22000.67 | 6   | 18980,19120,19260,18977,19117,19257       | 8454.47  | 62.41    |
| 11  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3524288    | 10152.77      | 18489.1  | 6   | 17290,17430,17570,17287,17427,17567       | 8336.33  | 82.11    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 3524288    | 11400.58      | 19477.38 | 6   | 15190,15330,15470,15187,15327,15467       | 8076.8   | 70.85    |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 3024288    | 10683.59      | 18589.03 | 6   | 16025,16165,16305,16022,16162,16302       | 7905.44  | 74.0     |
| 10  | 20         | 10000000 | 5000000   | 476191   | 16      | 0     | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 3024288    | 9623.56       | 17321.83 | 6   | 15185,15325,15465,15182,15322,15462       | 7698.27  | 79.99    |
